level,key,tmc_bias_mean,tmc_residual_std,tmc_count,ftr_bias_mean,ftr_residual_std,ftr_count,ot_bias_mean,ot_residual_std,ot_count
agent,13191900009,83.6998034643144,456.7538709381013,5409,-0.1371048265738548,0.38703063510224384,5409,-0.12641587364646617,0.34287811975049975,5409
agent,13245130010,170.73167971237,637.2976576259307,3534,-0.1366465112703563,0.3907833546253484,3534,-0.15297156712633253,0.41706196068983353,3534
agent,13268100006,215.13056985003203,560.4464030665101,2024,-0.14641529108165752,0.380144053478259,2024,-0.12046905033812184,0.3874116269391602,2024
agent,13280540008,72.562409483929,500.2058509069283,4769,-0.15235869368059027,0.38310883307055404,4769,-0.16264913600035993,0.42391182687976564,4769
agent,13296300005,94.75022481446891,537.2639570380053,3095,-0.17237495233053537,0.3587300011226357,3095,-0.1457019033466025,0.40215515161740784,3095
agent,13298110009,155.73588754473806,593.5701941949065,3092,-0.1595748097070747,0.3690581015617901,3092,-0.11766322613638051,0.37639386112659406,3092
agent,13299100007,97.20059651692708,542.4500119509335,150,-0.2246358464161555,0.30012471546157854,150,-0.19582327119850865,0.43978680481802535,150
agent,13351350003,123.72632007613883,470.76685554058,2542,-0.12422860143552325,0.4004446019412095,2542,-0.14797419332606054,0.43114513670335425,2542
agent,13351500005,109.1537213995715,420.92285017183684,3970,-0.16879437764735908,0.36107903134078323,3970,-0.15049949679165955,0.4334040125024577,3970
agent,13351930005,155.09778536965752,551.3908224180659,2407,-0.140865668029175,0.38910568306608034,2407,-0.16812544904330434,0.3918921539327852,2407
agent,13363150002,60.190897623697914,226.91662347594053,6,-0.34165488680203754,0.04371020838225761,6,-0.19519907577584186,0.3291652945208902,6
agent,13363160002,161.01338811063218,737.0389698227659,2175,-0.1418038436188095,0.386983210284887,2175,-0.156088681513465,0.4237960372121871,2175
agent,13363500002,148.21016749103688,560.9263909808901,2957,-0.13118421053781595,0.3906519568521848,2957,-0.11808161652373893,0.3923382020643778,2957
agent,13363700002,118.14077088678745,496.43456190775044,4208,-0.12929927124978244,0.39633770815648667,4208,-0.139609540603522,0.4210874486330039,4208
agent,13364300003,141.02211487507677,555.0595497931121,3002,-0.1487136586339056,0.38107749380020894,3002,-0.12105015325423599,0.3902452604685113,3002
agent,13364500003,155.59517572034724,580.046425862373,2766,-0.16488694103834686,0.36854519476936265,2766,-0.10194201156933369,0.386893105377315,2766
agent,13364910003,205.69571454640214,500.52068577669286,2152,-0.14849141515708325,0.3773828704767258,2152,-0.09325391578736462,0.332941357892361,2152
agent,13366510003,87.1042829277364,431.1064609031304,4805,-0.15623524811711942,0.3696183820034842,4805,-0.13446825670454415,0.39923340311028604,4805
agent,13366700003,184.57308487609956,649.1505221002986,1318,-0.19519664659214309,0.33031316980430125,1318,-0.11993741695535948,0.36591530079473317,1318
agent,13366730003,142.77373529809597,606.9721021573058,3516,-0.14087652493865824,0.38649585944121745,3516,-0.15173720725281195,0.41255654427629473,3516
agent,13367100003,130.60079525401758,399.7404089462955,5088,-0.14719680583092776,0.3791280328716967,5088,-0.14570836214073743,0.3828114467456581,5088
